variable,2023,2044,2060
Tot Pop,4322495,5081435,5968250
HH Pop,4241702,4976759,5844314
GQ Pop,80793,104676,123937
HH,1719462,2084850,2449926
Total Emp w/o Enlisted,2884684,3477591,3982484
Enlisted,45999,48672,45070
Total Emp w Enlisted,2930683,3526263,4027553
