target_id,name,2020-2044 Population Growth,2020-2044 Employment Growth
65,Bremerton,20252,14175.04
67,Bremerton UGA,2762,2433.96
68,Silverdale,9896,11416
69,Bainbridge Island,4524,1927
70,Kingston,3400,1400
71,Port Orchard,10500,5400
72,Port Orchard UGA,3552,1500
73,Poulsbo,4581,3903
74,Poulsbo UGA,1065,97
75,Urban Unincorporated (Central Kitsap UGA),5000,1470
76,Rural Areas,5415,2301
