target_id,name,2020-2044 Population Growth,2020-2044 Employment Growth
77,Tacoma,100618,70800
78,Auburn,263,0
79,Lakewood,16662,9863
80,Puyallup,16995,14717
81,University Place,7994,2943
82,DuPont,5184,1177
83,Fife,2160,2070
84,Fircrest,1910,113
86,Sumner,4904,5313
85,"Mid-County, Parkland-Spanaway-Midland, South Hill",41447,13452
87,Bonney Lake,5063,1717
88,Buckley,3121,1080
89,Carbonado,64,6
90,Eatonville,794,152
91,Edgewood,5931,1962
92,Gig Harbor,2200,2747
93,Milton,600,441
94,Orting,549,196
95,Pacific,0,638
96,Roy,253,92
97,Ruston,453,71
98,South Prairie,39,10
99,Steilacoom,464,10
100,Wilkeson,187,11
107,Pierce UGA,21183,8850
124,Pierce Rural,7994,2950
