target_id,name,Population Chg 2020-44,Employment Chg 2019-44
125,Everett,68547,67340
126,Bothell,13150,8705
127,Lynnwood,25167,21912
128,Arlington,14781,14423
130,Edmonds,13113,3058
136,Marysville,29108,17616
138,Mill Creek,3887,736
140,Mountlake Terrace,13424,2717
141,Mukilteo,3078,2358
129,Bothell MUGA,10927,542
131,Edmonds MUGA,908,106
132,Everett MUGA,17136,1905
135,Lynnwood MUGA,19783,2942
139,Mill Creek MUGA,13377,1599
142,Mukilteo MUGA,8178,2888
133,Larch Way Overlap,5540,491
143,Brier,540,114
144,Darrington,308,493
145,Gold Bar,247,591
146,Granite Falls,2101,1155
147,Index,18,3
148,Lake Stevens,9614,3219
149,Monroe,4603,2324
150,Snohomish,2752,1824
151,Stanwood,3258,1208
152,Sultan,3526,1329
153,Woodway,162,12
155,Arlington UGA,307,39
156,Brier MUGA,150,81
157,Darrington UGA,111,76
158,Gold Bar UGA,38,14
159,Granite Falls UGA,187,3
161,Lake Stevens UGA,315,65
164,Marysville UGA,1,93
166,Monroe UGA,407,77
167,Mountlake Terrace MUGA,7,0
170,Snohomish UGA,405,37
172,Stanwood UGA,290,534
174,Sultan UGA,149,1
175,Woodway MUGA,271,32
162,Lake Stickney Gap,3800,707
169,Silver Firs Gap,4193,1434
163,Maltby UGA,426,1006
168,Paine Field Area,0,1584
176,Snohomish Rural,10063,4427
